X,CH1,CH2,
Second,Volt,Volt,
1.1743800e-01,2.40000e-03,3.40000e-03,
1.1743900e-01,3.40000e-03,4.60000e-03,
1.1744000e-01,4.20000e-03,5.60000e-03,
1.1744100e-01,3.60000e-03,5.00000e-03,
1.1744200e-01,2.80000e-03,4.40000e-03,
1.1744300e-01,2.20000e-03,3.60000e-03,
1.1744400e-01,1.40000e-03,3.00000e-03,
1.1744500e-01,8.00000e-04,2.20000e-03,
1.1744600e-01,0.00000e+00,1.60000e-03,
1.1744700e-01,-6.00000e-04,1.00000e-03,
1.1744800e-01,-1.40000e-03,2.00000e-04,
1.1744900e-01,-2.00000e-03,-4.00000e-04,
1.1745000e-01,-2.80000e-03,-1.20000e-03,
1.1745100e-01,-3.40000e-03,-1.80000e-03,
1.1745200e-01,-4.20000e-03,-2.60000e-03,
1.1745300e-01,-3.40000e-03,-2.20000e-03,
1.1745400e-01,-2.80000e-03,-1.80000e-03,
1.1745500e-01,-2.20000e-03,-1.40000e-03,
1.1745600e-01,-1.60000e-03,-1.20000e-03,
1.1745700e-01,-1.00000e-03,-8.00000e-04,
1.1745800e-01,-2.00000e-04,-4.00000e-04,
1.1745900e-01,4.00000e-04,0.00000e+00,
1.1746000e-01,1.00000e-03,2.00000e-04,
1.1746100e-01,1.60000e-03,6.00000e-04,
1.1746200e-01,2.20000e-03,1.00000e-03,
1.1746300e-01,2.80000e-03,1.20000e-03,
1.1746400e-01,2.40000e-03,1.20000e-03,
1.1746500e-01,1.80000e-03,1.20000e-03,
1.1746600e-01,1.40000e-03,1.20000e-03,
1.1746700e-01,8.00000e-04,1.20000e-03,
1.1746800e-01,4.00000e-04,1.20000e-03,
1.1746900e-01,-2.00000e-04,1.20000e-03,
1.1747000e-01,-6.00000e-04,1.20000e-03,
1.1747100e-01,-1.20000e-03,1.20000e-03,
1.1747200e-01,-1.60000e-03,1.20000e-03,
1.1747300e-01,-2.20000e-03,1.20000e-03,
1.1747400e-01,-2.60000e-03,1.20000e-03,
1.1747500e-01,-3.20000e-03,1.20000e-03,
1.1747600e-01,-2.40000e-03,1.20000e-03,
1.1747700e-01,-1.60000e-03,1.00000e-03,
1.1747800e-01,-1.00000e-03,1.00000e-03,
1.1747900e-01,-2.00000e-04,8.00000e-04,
1.1748000e-01,4.00000e-04,8.00000e-04,
1.1748100e-01,1.20000e-03,6.00000e-04,
1.1748200e-01,1.80000e-03,6.00000e-04,
1.1748300e-01,2.60000e-03,4.00000e-04,
1.1748400e-01,3.20000e-03,4.00000e-04,
1.1748500e-01,4.00000e-03,2.00000e-04,
1.1748600e-01,4.60000e-03,0.00000e+00,
1.1748700e-01,4.20000e-03,0.00000e+00,
1.1748800e-01,3.60000e-03,-2.00000e-04,
1.1748900e-01,3.20000e-03,-2.00000e-04,
1.1749000e-01,2.60000e-03,-4.00000e-04,
1.1749100e-01,2.00000e-03,-6.00000e-04,
1.1749200e-01,1.60000e-03,-6.00000e-04,
1.1749300e-01,1.00000e-03,-8.00000e-04,
1.1749400e-01,4.00000e-04,-1.00000e-03,
1.1749500e-01,0.00000e+00,-1.00000e-03,
1.1749600e-01,-6.00000e-04,-1.20000e-03,
1.1749700e-01,-1.20000e-03,-1.40000e-03,
1.1749800e-01,-1.80000e-03,-1.60000e-03,
1.1749900e-01,-1.20000e-03,-1.20000e-03,
1.1750000e-01,-6.00000e-04,-1.00000e-03,
1.1750100e-01,0.00000e+00,-8.00000e-04,
1.1750200e-01,6.00000e-04,-4.00000e-04,
1.1750300e-01,1.20000e-03,-2.00000e-04,
1.1750400e-01,1.80000e-03,0.00000e+00,
1.1750500e-01,2.40000e-03,2.00000e-04,
1.1750600e-01,3.00000e-03,6.00000e-04,
1.1750700e-01,3.60000e-03,8.00000e-04,
1.1750800e-01,4.20000e-03,1.00000e-03,
1.1750900e-01,4.60000e-03,1.20000e-03,
1.1751000e-01,4.00000e-03,1.00000e-03,
1.1751100e-01,3.20000e-03,8.00000e-04,
1.1751200e-01,2.60000e-03,6.00000e-04,
1.1751300e-01,1.80000e-03,4.00000e-04,
1.1751400e-01,1.20000e-03,2.00000e-04,
